Rk,Date,Tm,Unnamed: 3_level_1,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
371,2019-03-17,MIL,,PHI,L 125-130,240,43,95,.453,27,45,.600,16,50,.320,23,28,.821,125
372,2019-03-17,PHI,@,MIL,W 130-125,240,47,100,.470,32,68,.471,15,32,.469,21,30,.700,130
373,2019-03-17,LAL,@,NYK,L 123-124,240,47,97,.485,40,70,.571,7,27,.259,22,28,.786,123
374,2019-03-17,NYK,,LAL,W 124-123,240,44,76,.579,32,50,.640,12,26,.462,24,29,.828,124
375,2019-03-17,ATL,@,ORL,L 91-101,240,38,91,.418,30,56,.536,8,35,.229,7,10,.700,91
376,2019-03-17,ORL,,ATL,W 101-91,240,33,85,.388,24,48,.500,9,37,.243,26,33,.788,101
377,2019-03-17,CHI,@,SAC,L 102-129,240,39,88,.443,29,62,.468,10,26,.385,14,21,.667,102
378,2019-03-17,SAC,,CHI,W 129-102,240,54,103,.524,46,80,.575,8,23,.348,13,16,.813,129
379,2019-03-16,ATL,@,BOS,L 120-129,240,43,100,.430,28,60,.467,15,40,.375,19,24,.792,120
380,2019-03-16,BOS,,ATL,W 129-120,240,44,93,.473,31,57,.544,13,36,.361,28,37,.757,129
381,2019-03-16,CLE,@,DAL,L 116-121,240,40,86,.465,25,48,.521,15,38,.395,21,22,.955,116
382,2019-03-16,DAL,,CLE,W 121-116,240,46,89,.517,30,55,.545,16,34,.471,13,16,.813,121
383,2019-03-16,DEN,,IND,W 102-100,240,39,82,.476,28,44,.636,11,38,.289,13,20,.650,102
384,2019-03-16,IND,@,DEN,L 100-102,240,34,75,.453,28,51,.549,6,24,.250,26,37,.703,100
385,2019-03-16,NOP,,PHO,L 136-138 (OT),265,47,102,.461,32,72,.444,15,30,.500,27,41,.659,136
386,2019-03-16,PHO,@,NOP,W 138-136 (OT),265,51,100,.510,42,71,.592,9,29,.310,27,36,.750,138
387,2019-03-16,GSW,@,OKC,W 110-88,240,39,83,.470,24,48,.500,15,35,.429,17,22,.773,110
388,2019-03-16,OKC,,GSW,L 88-110,240,31,96,.323,18,55,.327,13,41,.317,13,23,.565,88
389,2019-03-16,POR,@,SAS,L 103-108,240,42,101,.416,35,73,.479,7,28,.250,12,14,.857,103
390,2019-03-16,SAS,,POR,W 108-103,240,37,79,.468,29,62,.468,8,17,.471,26,30,.867,108
391,2019-03-16,BRK,@,UTA,L 98-114,240,33,95,.347,21,59,.356,12,36,.333,20,22,.909,98
392,2019-03-16,UTA,,BRK,W 114-98,240,39,91,.429,26,55,.473,13,36,.361,23,31,.742,114
393,2019-03-16,MEM,@,WAS,L 128-135,240,48,90,.533,36,57,.632,12,33,.364,20,26,.769,128
394,2019-03-16,WAS,,MEM,W 135-128,240,41,81,.506,24,46,.522,17,35,.486,36,43,.837,135
395,2019-03-15,DET,,LAL,W 111-97,240,37,86,.430,20,47,.426,17,39,.436,20,32,.625,111
396,2019-03-15,LAL,@,DET,L 97-111,240,36,86,.419,30,61,.492,6,25,.240,19,26,.731,97
397,2019-03-15,HOU,,PHO,W 108-102,240,36,83,.434,25,43,.581,11,40,.275,25,33,.758,108
398,2019-03-15,PHO,@,HOU,L 102-108,240,38,89,.427,31,63,.492,7,26,.269,19,25,.760,102
399,2019-03-15,CHI,@,LAC,L 121-128,240,42,80,.525,31,59,.525,11,21,.524,26,33,.788,121
400,2019-03-15,LAC,,CHI,W 128-121,240,44,99,.444,34,79,.430,10,20,.500,30,35,.857,128
401,2019-03-15,MIA,,MIL,L 98-113,240,38,93,.409,30,71,.423,8,22,.364,14,25,.560,98
402,2019-03-15,MIL,@,MIA,W 113-98,240,42,88,.477,30,55,.545,12,33,.364,17,24,.708,113
403,2019-03-15,NOP,,POR,L 110-122,240,45,94,.479,37,64,.578,8,30,.267,12,25,.480,110
404,2019-03-15,POR,@,NOP,W 122-110,240,43,96,.448,33,69,.478,10,27,.370,26,32,.813,122
405,2019-03-15,PHI,,SAC,W 123-114,240,46,91,.505,39,67,.582,7,24,.292,24,27,.889,123
406,2019-03-15,SAC,@,PHI,L 114-123,240,43,94,.457,34,67,.507,9,27,.333,19,24,.792,114
407,2019-03-15,NYK,@,SAS,L 83-109,240,35,86,.407,27,66,.409,8,20,.400,5,9,.556,83
408,2019-03-15,SAS,,NYK,W 109-83,240,47,88,.534,40,67,.597,7,21,.333,8,10,.800,109
409,2019-03-15,CHA,@,WAS,W 116-110,240,46,101,.455,32,70,.457,14,31,.452,10,12,.833,116
410,2019-03-15,WAS,,CHO,L 110-116,240,41,84,.488,28,50,.560,13,34,.382,15,19,.789,110
411,2019-03-14,BOS,,SAC,W 126-120,240,49,97,.505,40,69,.580,9,28,.321,19,26,.731,126
412,2019-03-14,SAC,@,BOS,L 120-126,240,48,95,.505,37,61,.607,11,34,.324,13,23,.565,120
413,2019-03-14,DAL,@,DEN,L 99-100,240,37,87,.425,25,50,.500,12,37,.324,13,17,.765,99
414,2019-03-14,DEN,,DAL,W 100-99,240,39,81,.481,31,52,.596,8,29,.276,14,17,.824,100
415,2019-03-14,IND,,OKC,W 108-106,240,37,82,.451,30,60,.500,7,22,.318,27,32,.844,108
416,2019-03-14,OKC,@,IND,L 106-108,240,38,86,.442,24,56,.429,14,30,.467,16,20,.800,106
417,2019-03-14,CLE,@,ORL,L 91-120,240,35,86,.407,28,55,.509,7,31,.226,14,15,.933,91
418,2019-03-14,ORL,,CLE,W 120-91,240,45,93,.484,31,62,.500,14,31,.452,16,21,.762,120
419,2019-03-14,LAL,@,TOR,L 98-111,240,38,85,.447,31,54,.574,7,31,.226,15,24,.625,98
420,2019-03-14,TOR,,LAL,W 111-98,240,36,91,.396,20,50,.400,16,41,.390,23,29,.793,111
421,2019-03-14,MIN,@,UTA,L 100-120,240,42,91,.462,37,67,.552,5,24,.208,11,15,.733,100
422,2019-03-14,UTA,,MIN,W 120-100,240,44,89,.494,31,51,.608,13,38,.342,19,27,.704,120
423,2019-03-13,ATL,,MEM,W 132-111,240,52,103,.505,35,58,.603,17,45,.378,11,14,.786,132
424,2019-03-13,MEM,@,ATL,L 111-132,240,38,89,.427,24,49,.490,14,40,.350,21,26,.808,111
425,2019-03-13,GSW,@,HOU,W 106-104,240,42,85,.494,30,53,.566,12,32,.375,10,10,1.000,106
426,2019-03-13,HOU,,GSW,L 104-106,240,37,78,.474,26,37,.703,11,41,.268,19,23,.826,104
427,2019-03-13,DET,@,MIA,L 74-108,240,27,77,.351,19,40,.475,8,37,.216,12,18,.667,74
428,2019-03-13,MIA,,DET,W 108-74,240,39,84,.464,28,56,.500,11,28,.393,19,24,.792,108
429,2019-03-13,BRK,@,OKC,L 96-108,240,35,84,.417,22,49,.449,13,35,.371,13,19,.684,96
430,2019-03-13,OKC,,BRK,W 108-96,240,41,96,.427,30,68,.441,11,28,.393,15,19,.789,108
431,2019-03-13,PHO,,UTA,L 97-114,240,36,82,.439,29,63,.460,7,19,.368,18,23,.783,97
432,2019-03-13,UTA,@,PHO,W 114-97,240,42,90,.467,30,57,.526,12,33,.364,18,25,.720,114
